Referenz-ID,HRM2-ID,HRM2-Bezeichnung,Rechnung 2021,Budget 2022,Anpassung Budget 2022,Budgetplus 2022,Rechnung 2022,Budget 2023,Source,Kanton,Year,Compte,Adaptation Budget**,Compte.1
HRM2_IR0586,586,a.o. eigene Investitionsbeiträge,758.46495,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0589,589,Übrige a.o. Investitionen,0.0,0.0,0.0,0.0,59.0,-1500.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0005,5,Investitionsausgaben gesamt,6510303.257619999,7302071.0039099995,475526.97627,7777597.980179999,6534272.091209999,7931023.8533499995,HRM2_KT_alle,alle,2022,,,
HRM2_IR0060,60,Übertragung von Sachanlagen in das FV,24301.71627,40303.853,0.0,40303.853,28821.795309999994,55191.709,HRM2_KT_alle,alle,2022,,,
HRM2_IR0061,61,Rückerstattungen Dritter für Investitionen,32541.77712,21076.8,0.0,21076.8,41298.23025,32807.4,HRM2_KT_alle,alle,2022,,,
HRM2_IR0062,62,Abgang immaterielle Anlagen,5364.4,0.0,0.0,0.0,3748.7,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0063,63,Investitionsbeiträge für eigene Rechnung,805400.6373399999,860086.7499599999,18705.47,878792.2199599999,909394.6452500001,899937.88,HRM2_KT_alle,alle,2022,,,
HRM2_IR0064,64,Rückzahlung von Darlehen,310494.77685,206337.10311999999,0.0,206337.10311999999,279924.94148000004,204391.347,HRM2_KT_alle,alle,2022,,,
HRM2_IR0065,65,Übertragung von Beteiligungen,25515.9,10000.0,0.0,10000.0,10536.727350000001,10000.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0066,66,Rückzahlung eigener Investitionsbeiträge,59993.79467999999,57814.59,0.0,57814.59,269962.58694,55289.618,HRM2_KT_alle,alle,2022,,,
HRM2_IR0067,67,Durchlaufende Investitionsbeiträge,238804.56694000002,269523.9,0.0,269523.9,231519.67205,260352.75,HRM2_KT_alle,alle,2022,,,
HRM2_neu_IR0068,68,Ausserordentliche Investitionseinnahmen,2765.78135,12983.0,0.0,12983.0,2103.978,9242.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0680,680 + 682 + 689,"a.o. Investitionseinnahmen für Sachanlagen, immaterielle Anlagen und übrige Anlagen",1301.3469,10903.0,0.0,10903.0,2103.978,7030.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0683,683 bis 686,a.o. Investitionsbeiträge für eigene Rechnung; Rückzahlungen von Darlehen; Übertragung von Beteiligungen; Rückzahlung von eigenen Beiträgen,1554.34545,2210.0,0.0,2210.0,89.911,2342.0,HRM2_KT_alle,alle,2022,,,
HRM2_IR0006,6,Investitionseinnahmen gesamt,1505182.55532,1478125.99608,18705.47,1496831.46608,1777311.27663,1527212.7040000001,HRM2_KT_alle,alle,2022,,,
HRM2_IRNI,HRM2-Tabelle 18.19,Nettoinvestition,5005120.7023,5823945.0078300005,456663.50627,6280608.5141,4759530.81458,6403811.14935,HRM2_KT_alle,alle,2022,,,
HRM2_IRNIDB,Nettoinv. II,Nettoinvestition ohne Darlehen und Beteiligungen,4692974.76488,5545247.993320001,296113.50627,5841361.499590001,4589751.885810001,5702782.971350001,HRM2_KT_alle,alle,2022,,,
HRM2_BI0010,10,Finanzvermögen,67781155.07665,9499721.6245,108600.405,9608322.0295,69845757.10762,9541544.63414,HRM2_KT_alle,alle,2022,,,
HRM2_BIUV,10 kf. FV,Umlaufvermögen (kurzfristiges Finanzvermögen),52370391.04060999,8232243.9695,-68546.481,8163697.4885,52919709.605189994,8060261.41257143,HRM2_KT_alle,alle,2022,,,
HRM2_BI0100,100+101,"Flüssige Mittel, Forderungen",32994153.892109994,5793302.6295,-87258.081,5706044.5485,32286850.74337,5559374.747081431,HRM2_KT_alle,alle,2022,,,
HRM2_BI0102,102,Kurzfr. Finanzanlagen,2521536.14501,102100.0,-300.0,101800.0,5671601.97084,59000.0,HRM2_KT_alle,alle,2022,,,
HRM2_BI0104,104,Aktive Rechnungsabgrenzungen (Transit. Aktiven),16630655.36586,2314841.9469,18317.624,2333159.5708999997,14734516.88216,2417617.34442,HRM2_KT_alle,alle,2022,,,
HRM2_BI0106,106,Vorräte und angefangene Arbeiten,224045.63763000004,21999.3931,693.976,22693.3691,226740.00882000005,24269.32107,HRM2_KT_alle,alle,2022,,,
HRM2_BIAVFV,10 lf. FV,Anlagevermögen FV (langfristiges Finanzvermögen),15410764.03604,1267477.655,177146.886,1444624.541,16926047.50243,1481283.22156857,HRM2_KT_alle,alle,2022,,,
HRM2_BI0107,107,Langfristige Finanzanlagen FV,8328518.536660001,980820.0009000001,-364.6139999999971,980455.3869000002,9282462.17114,1012802.7222000001,HRM2_KT_alle,alle,2022,,,
HRM2_BI0108,108,Sachanlagen FV,6685159.91942,437208.95410000003,26960.2,464169.15410000004,7253218.4955400005,468480.49936856993,HRM2_KT_alle,alle,2022,,,
HRM2_BI0109,109,Forderungen gegenüber Spezialfinanzierungen und Fonds im FK,397085.57995999994,-150551.3,150551.3,0.0,390366.83574999997,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_BI0014,14,Verwaltungsvermögen,71160963.04256001,13174726.241999999,-12619.439,13162106.803,71809259.31278,13211381.09958,HRM2_KT_alle,alle,2022,,,
HRM2_BI0140,140+142,"Sachanlagen, Immaterielle Anlagen",44368059.16788999,8557522.3214,18317.040999999987,8575839.362399999,45214245.69472,8789045.482229998,HRM2_KT_alle,alle,2022,,,
HRM2_BI0144,144,Darlehen,5396264.32513,1079161.7571,16254.777000000006,1095416.5341,5212550.092660001,1133336.5720300002,HRM2_KT_alle,alle,2022,,,
HRM2_BI0145,145,Beteiligungen / Grundkapitalien,13743842.076769998,1644391.6974000002,-4934.0,1639457.6974000002,13976419.892900001,1897349.178,HRM2_KT_alle,alle,2022,,,
HRM2_BI0146,146,Investitionsbeiträge,7787576.07277,1893650.4661,-42257.257,1851393.2091,7810311.91914,1391649.86732,HRM2_KT_alle,alle,2022,,,
HRM2_BI1480,1480+1482,"Kum. zusätzliche Abschreibungen Sachanlagen, Immaterielle Anlagen (negative Vorzeichen)",-50736.3,0.0,0.0,0.0,-315809.37288,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_BI1484,1484,Kum. zusätzliche Abschreibungen Darlehen,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_BI1485,1485,Kum. zusätzliche Abschreibungen Beteiligungen,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_BI1486,1486,Kum. zusätzliche Abschreibungen Investitionsbeiträge,-84042.3,0.0,0.0,0.0,-88458.91376,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_BI1489,1489,Nicht zugeteilte kum. zusätzliche Abschreibungen,0.0,0.0,0.0,0.0,0.0,0.0,HRM2_KT_alle,alle,2022,,,
HRM2_BI0001,1,Aktiven,138942118.11921,22674447.866499998,95980.966,22770428.832499996,141655016.42039996,22752925.73372,HRM2_KT_alle,alle,2022,,,
HRM2_BI0020,20,Fremdkapital,99344726.43513003,17041463.6965,-444176.495,16597287.2015,96739213.34819,16307023.102440001,HRM2_KT_alle,alle,2022,,,
HRM2_BIKFK,20 kf. FK,Kurzfristiges Fremdkapital,48756545.9984,7233097.583699998,306.88899999998466,7233404.472699999,47436910.77820001,6716545.37273,HRM2_KT_alle,alle,2022,,,
HRM2_BI0200,200,Laufende Verbindlichkeiten,22067228.19964,2564098.3836,44008.62099999999,2608107.0045999996,22708510.710649997,2206913.47667,HRM2_KT_alle,alle,2022,,,
HRM2_BI0201,201,Kurzfristige Finanzverbindlichkeiten,8870560.18989,1237904.889,46774.362,1284679.251,6130321.548359999,1081109.42,HRM2_KT_alle,alle,2022,,,
HRM2_BI2016,davon 2016,derivative Finanzinstrumente,16580.994,0.0,0.0,0.0,739.6990000000001,0.0,HRM2_KT_alle,alle,2022,,,
