Region,Acc-ID,y,Realized_1yr_lag,Realized_2yr_lag,ds
ZG,58,6564.599999999999,0.0,,2011-01-01
ZG,57,6564.599999999999,,,2011-01-01
GL,44,0.0283740456994638,,,2011-01-01
GL,45,-0.0127430831811942,0.0,14928.6,2011-01-01
GL,47,0.081694836556752,0.0,28430.6,2011-01-01
ZG,30,298004.2,0.0,,2011-01-01
ZG,31,109846.4,0.0,0.0,2011-01-01
ZG,34,11147.3,0.0,0.0,2011-01-01
ZG,34,196365.35,11147.3,0.0,2011-01-01
ZG,35,196365.35,0.0,,2011-01-01
ZG,36,196365.35,0.0,0.0,2011-01-01
ZG,37,196365.35,0.0,0.0,2011-01-01
ZG,35,14500.1,196365.35,0.0,2011-01-01
ZG,39,4264.3,0.0,0.0,2011-01-01
ZG,41,48481.6,0.0,,2011-01-01
ZG,43,48481.6,0.0,0.0,2011-01-01
ZG,44,127201.275,0.0,,2011-01-01
ZG,45,127201.275,0.0,0.0,2011-01-01
ZG,46,127201.275,0.0,,2011-01-01
ZG,47,127201.275,0.0,0.0,2011-01-01
ZG,45,3854.5,127201.275,0.0,2011-01-01
ZG,49,4264.3,0.0,,2011-01-01
ZG,50,79928.0,,,2011-01-01
ZG,54,32720.1,,,2011-01-01
ZG,56,6564.599999999999,,,2011-01-01
ZG,42,61364.0,0.0,0.0,2011-01-01
OW,34,42788.0,,,2011-01-01
OW,35,42788.0,,,2011-01-01
OW,36,42788.0,,,2011-01-01
OW,37,42788.0,,,2011-01-01
OW,35,12629.0,42788.0,,2011-01-01
OW,39,29324.0,,,2011-01-01
OW,42,19003.0,,,2011-01-01
OW,41,16409.0,,,2011-01-01
OW,43,16409.0,,,2011-01-01
OW,44,32492.25,,,2011-01-01
OW,45,32492.25,,,2011-01-01
OW,46,32492.25,,,2011-01-01
OW,47,32492.25,,,2011-01-01
OW,45,3612.0,32492.25,,2011-01-01
OW,49,29324.0,,,2011-01-01
OW,50,68635.0,,,2011-01-01
OW,54,109.0,,,2011-01-01
OW,56,8157.333333333333,,,2011-01-01
OW,57,8157.333333333333,,,2011-01-01
OW,58,8157.333333333333,,,2011-01-01
